iter	Passed	Remaining
413	16104	22795
414	16136	22747
415	16206	22751
416	16271	22748
417	16302	22698
418	16326	22639
419	16360	22592
420	16391	22543
421	16425	22497
422	16469	22465
423	16540	22470
424	16621	22488
425	16684	22481
426	16756	22486
427	16829	22491
428	16890	22480
429	16956	22477
430	17016	22465
431	17075	22451
432	17140	22445
433	17186	22414
434	17219	22365
435	17253	22318
436	17285	22268
437	17316	22218
438	17348	22170
439	17384	22125
440	17445	22113
441	17524	22124
442	17581	22105
443	17620	22065
444	17691	22064
445	17771	22075
446	17837	22067
447	17921	22082
448	18006	22097
449	18073	22089
450	18101	22035
451	18133	21984
452	18167	21937
453	18199	21886
454	18236	21843
455	18279	21807
456	18352	21805
457	18423	21802
458	18502	21808
459	18549	21775
460	18580	21724
461	18611	21673
462	18643	21622
463	18673	21571
464	18706	21522
465	18737	21471
466	18767	21419
467	18799	21369
468	18830	21319
469	18860	21268
470	18890	21217
471	18914	21158
472	18945	21108
473	18976	21058
474	19014	21015
475	19137	21067
476	19323	21186
477	19407	21193
478	19478	21186
479	19510	21136
480	19542	21086
481	19573	21035
482	19605	20986
483	19639	20938
484	19684	20901
485	19770	20909
486	19883	20944
487	19948	20929
488	19981	20879
489	20013	20829
490	20044	20779
491	20078	20731
492	20111	20682
493	20142	20631
494	20188	20596
495	20230	20557
496	20262	20507
497	20293	20456
498	20327	20409
499	20358	20358
500	20388	20307
501	20418	20256
502	20449	20205
503	20479	20154
504	20509	20103
505	20535	20048
506	20566	19998
507	20597	19948
508	20628	19899
509	20660	19850
510	20691	19800
511	20729	19758
512	20773	19720
513	20812	19679
514	20851	19636
515	20902	19606
516	20949	19571
517	20994	19535
518	21024	19484
519	21054	19434
520	21083	19384
521	21108	19329
522	21136	19277
523	21168	19229
524	21195	19176
525	21225	19127
526	21255	19077
527	21282	19025
528	21314	18977
529	21343	18927
530	21374	18878
531	21403	18829
532	21434	18779
533	21460	18727
534	21490	18678
535	21521	18630
536	21551	18581
537	21581	18532
538	21611	18483
539	21641	18435
540	21671	18386
541	21702	18339
542	21734	18292
543	21759	18239
544	21789	18191
545	21820	18144
546	21850	18095
547	21879	18046
548	21910	17999
549	21935	17947
550	21965	17899
551	21994	17850
552	22023	17802
553	22055	17755
554	22087	17709
555	22117	17661
556	22147	17614
557	22177	17567
558	22207	17519
559	22238	17473
560	22269	17426
561	22300	17380
562	22327	17330
563	22358	17283
564	22387	17236
565	22417	17189
566	22445	17140
567	22475	17093
568	22505	17047
569	22531	16997
570	22561	16950
571	22592	16904
572	22622	16858
573	22653	16812
574	22682	16765
575	22713	16719
576	22745	16674
577	22775	16628
578	22802	16579
579	22832	16534
580	22864	16489
581	22916	16459
582	22994	16447
583	23065	16430
584	23137	16413
585	23162	16364
586	23198	16322
587	23237	16281
588	23274	16240
589	23331	16213
590	23417	16206
591	23508	16201
592	23564	16173
593	23647	16163
594	23694	16128
595	23775	16116
596	23841	16094
597	23890	16059
598	23933	16022
599	23964	15976
600	23993	15928
601	24024	15883
602	24054	15837
603	24085	15791
604	24115	15745
605	24147	15699
606	24178	15654
607	24209	15608
608	24240	15563
609	24271	15517
610	24297	15469
611	24326	15422
612	24357	15377
613	24387	15331
614	24428	15292
615	24477	15258
616	24512	15215
617	24558	15180
618	24602	15142
619	24645	15105
620	24678	15061
621	24709	15016
622	24738	14970
623	24767	14924
624	24799	14879
625	24826	14832
626	24855	14786
627	24885	14741
628	24914	14695
629	24944	14649
630	24974	14604
631	25001	14557
632	25031	14513
633	25063	14469
634	25094	14424
635	25123	14379
636	25154	14334
637	25183	14289
638	25213	14244
639	25244	14200
640	25274	14155
641	25305	14111
642	25336	14066
643	25366	14022
644	25398	13979
645	25429	13934
646	25459	13890
647	25489	13846
648	25518	13801
649	25548	13756
650	25573	13710
651	25603	13665
652	25643	13626
653	25670	13581
654	25699	13536
655	25730	13492
656	25757	13446
657	25788	13403
658	25819	13360
659	25859	13321
660	25944	13306
661	25995	13272
662	26024	13228
663	26055	13184
664	26105	13150
665	26135	13107
666	26165	13063
667	26194	13018
668	26224	12974
669	26256	12932
670	26288	12889
671	26319	12846
672	26349	12802
673	26379	12759
674	26405	12713
675	26430	12667
676	26462	12625
677	26501	12586
678	26547	12550
679	26589	12512
680	26637	12477
681	26683	12442
682	26722	12402
683	26756	12360
684	26790	12319
685	26822	12277
686	26860	12237
687	26952	12222
688	27044	12207
689	27121	12184
690	27193	12160
691	27257	12131
692	27321	12103
693	27377	12071
694	27407	12027
695	27460	11994
696	27548	11975
697	27622	11951
698	27701	11928
699	27768	11900
700	27834	11872
701	27892	11840
702	27916	11793
703	27948	11751
704	27979	11707
705	28010	11664
706	28047	11623
707	28079	11580
708	28135	11547
709	28232	11531
710	28278	11494
711	28311	11451
712	28349	11411
713	28380	11368
714	28440	11336
715	28516	11311
716	28554	11270
717	28620	11240
718	28701	11217
719	28770	11188
720	28852	11164
721	28886	11122
722	28925	11081
723	28958	11039
724	28984	10994
725	29009	10948
726	29041	10905
727	29073	10862
728	29104	10819
729	29134	10775
730	29163	10731
731	29191	10687
732	29254	10656
733	29336	10631
734	29413	10604
735	29487	10577
736	29565	10550
737	29602	10509
738	29636	10466
739	29668	10424
740	29700	10381
741	29730	10337
742	29757	10292
743	29789	10250
744	29814	10204
745	29847	10162
746	29878	10119
747	29919	10079
748	29997	10052
749	30081	10027
750	30146	9995
751	30177	9952
752	30202	9907
753	30232	9863
754	30263	9820
755	30295	9777
756	30326	9735
757	30359	9692
758	30406	9654
759	30452	9616
760	30492	9576
761	30530	9535
762	30568	9495
763	30600	9452
764	30629	9409
765	30665	9367
766	30712	9329
767	30747	9288
768	30795	9250
769	30852	9215
770	30933	9187
771	31015	9160
772	31081	9127
773	31147	9094
774	31199	9058
775	31239	9017
776	31278	8977
777	31318	8936
778	31357	8895
779	31395	8855
780	31428	8812
781	31459	8770
782	31490	8727
783	31521	8684
784	31551	8641
785	31582	8598
786	31616	8556
787	31651	8515
788	31717	8482
789	31794	8451
790	31866	8419
791	31931	8386
792	31977	8347
793	32010	8304
794	32042	8262
795	32077	8220
796	32131	8183
797	32177	8145
798	32213	8103
799	32249	8062
800	32281	8020
801	32313	7977
802	32344	7935
803	32381	7893
804	32414	7851
805	32445	7809
806	32476	7766
807	32512	7725
808	32584	7692
809	32663	7661
810	32714	7624
811	32750	7582
812	32784	7540
813	32818	7499
814	32849	7456
815	32887	7415
816	32919	7373
817	32948	7330
818	32979	7288
819	33009	7246
820	33040	7203
821	33079	7163
822	33114	7121
823	33171	7085
824	33232	7049
825	33269	7008
826	33300	6966
827	33330	6923
828	33360	6881
829	33390	6839
830	33422	6797
831	33451	6754
832	33481	6712
833	33511	6670
834	33540	6627
835	33569	6585
836	33598	6543
837	33630	6501
838	33660	6459
839	33691	6417
840	33721	6375
841	33762	6335
842	33845	6303
843	33929	6271
844	33997	6236
845	34085	6204
846	34145	6168
847	34177	6126
848	34208	6084
849	34236	6041
850	34266	5999
851	34298	5957
852	34329	5916
853	34363	5874
854	34396	5833
855	34451	5795
856	34531	5761
857	34597	5725
858	34630	5684
859	34662	5642
860	34691	5600
861	34722	5558
862	34755	5517
863	34792	5476
864	34839	5437
865	34879	5397
866	34910	5355
867	34941	5313
868	34971	5271
869	35001	5230
870	35032	5188
871	35067	5147
872	35141	5112
873	35225	5078
874	35305	5043
875	35377	5007
876	35443	4970
877	35478	4929
878	35512	4888
879	35546	4847
880	35579	4805
881	35610	4764
882	35640	4722
883	35672	4680
884	35704	4639
885	35737	4598
886	35763	4556
887	35797	4515
888	35838	4474
889	35877	4434
890	35918	4394
891	35965	4354
892	36009	4314
893	36060	4275
894	36110	4236
895	36160	4197
896	36202	4156
897	36234	4115
898	36266	4074
899	36305	4033
900	36340	3993
901	36378	3952
902	36419	3912
903	36456	3871
904	36492	3830
905	36551	3792
906	36583	3751
907	36611	3709
908	36641	3668
909	36672	3626
910	36704	3585
911	36737	3544
912	36771	3503
913	36800	3462
914	36841	3422
915	36889	3382
916	36931	3342
917	36961	3301
918	36997	3260
919	37032	3220
920	37072	3179
921	37107	3139
922	37139	3098
923	37176	3057
924	37213	3017
925	37246	2976
926	37283	2935
927	37321	2895
928	37356	2855
929	37386	2814
930	37419	2773
931	37455	2732
932	37489	2692
933	37520	2651
934	37552	2610
935	37581	2569
936	37612	2528
937	37642	2488
938	37672	2447
939	37699	2406
940	37729	2365
941	37761	2325
942	37786	2283
943	37815	2243
944	37845	2202
945	37874	2161
946	37904	2121
947	37931	2080
948	37959	2039
949	37988	1999
950	38014	1958
951	38043	1918
952	38073	1877
953	38103	1837
954	38132	1796
955	38161	1756
956	38187	1715
957	38217	1675
958	38249	1635
959	38279	1594
960	38308	1554
961	38336	1514
962	38365	1474
963	38394	1433
964	38423	1393
965	38448	1353
966	38477	1313
967	38505	1272
968	38534	1232
969	38557	1192
970	38587	1152
971	38618	1112
972	38646	1072
973	38675	1032
974	38704	992
975	38728	952
976	38759	912
977	38783	872
978	38814	832
979	38842	792
980	38872	752
981	38901	713
982	38929	673
983	38958	633
984	38984	593
985	39013	553
986	39042	514
987	39071	474
988	39100	434
989	39132	395
990	39161	355
991	39186	316
992	39215	276
993	39245	236
994	39274	197
995	39300	157
996	39330	118
997	39358	78
998	39381	39
999	39410	0
