iter	Logloss
271	0.5866613941
272	0.5865958584
273	0.5865185752
274	0.586441691
275	0.5863779588
276	0.586279873
277	0.5861529844
278	0.5860718801
279	0.5859866907
280	0.5859093402
281	0.5858451873
282	0.585770582
283	0.5856831006
284	0.5855970372
285	0.5855320363
286	0.5854746814
287	0.5853962586
288	0.5853359643
289	0.5852693907
290	0.5851817654
291	0.5850797416
292	0.5850045441
293	0.5849063437
294	0.5848594269
295	0.5847940749
296	0.5846965204
297	0.5846295686
298	0.5845815849
299	0.584520017
300	0.5844132728
301	0.5843288671
302	0.5842400824
303	0.5841887036
304	0.5841244902
305	0.5840717165
306	0.5839572479
307	0.5838793758
308	0.5837988044
309	0.5837118013
310	0.583655112
311	0.5835686199
312	0.583506049
313	0.5834048372
314	0.5833515718
315	0.5832966948
316	0.5831853387
317	0.5831025516
318	0.5830492273
319	0.5829509392
320	0.5828622392
321	0.5827866192
322	0.582725207
323	0.5826442121
324	0.5825390727
325	0.5824924209
326	0.5824070041
327	0.5823419553
328	0.58226967
329	0.5821973668
330	0.5820996491
331	0.5820165488
332	0.5819598079
333	0.5818620411
334	0.5817785105
335	0.5816969219
336	0.5816361391
337	0.5815565843
338	0.581501161
339	0.5814178856
340	0.5813781066
341	0.5813121481
342	0.5812535992
343	0.5811972619
344	0.5811348417
345	0.5810761917
346	0.5810250113
347	0.5809546922
348	0.580919843
349	0.5808437159
350	0.5807368605
351	0.5806949692
352	0.5806384039
353	0.5805624644
354	0.5804905822
355	0.5804237307
356	0.5803602574
357	0.5802962289
358	0.5802282362
359	0.5801379362
360	0.5800291887
361	0.5799692186
362	0.5799251132
363	0.5798622174
364	0.5797262189
365	0.5796367247
366	0.5795968825
367	0.579526643
368	0.5794517257
369	0.5793777189
370	0.579300328
371	0.5792408741
372	0.5791943094
373	0.5791205341
374	0.5790239493
375	0.5789837693
376	0.5789207839
377	0.5788613321
378	0.5787853076
379	0.5787090439
380	0.578655803
381	0.5786009447
382	0.5785401629
383	0.5784788947
384	0.5784282541
385	0.5783395679
386	0.5782871772
387	0.5782327476
388	0.5781542211
389	0.5781138637
390	0.5780647019
391	0.5779948953
392	0.5779360386
393	0.5778813155
394	0.5778124863
395	0.5777710085
396	0.5777225541
397	0.5776385065
398	0.5775721265
399	0.5775104278
400	0.5774526661
401	0.5773861481
402	0.5773239607
403	0.5772721182
404	0.5771872983
405	0.5771181337
406	0.5770533783
407	0.5769542103
408	0.576897182
409	0.576827655
410	0.5767694466
411	0.5766886481
412	0.5766366667
413	0.5766064263
414	0.5765593851
415	0.5765162669
416	0.5764343229
417	0.5763884451
418	0.5763136263
419	0.5762562125
420	0.5761827965
421	0.5761309254
422	0.5760771052
423	0.5760312577
424	0.5759836839
425	0.5758646999
426	0.575813408
427	0.5757597933
428	0.5757023193
429	0.575629228
430	0.5755554662
431	0.575481137
432	0.5754244268
433	0.5753604959
434	0.5753118742
435	0.5752539777
436	0.5751510524
437	0.5750944871
438	0.575055196
439	0.5749944897
440	0.5749396216
441	0.5748767415
442	0.5748052404
443	0.5747478359
444	0.5746745203
445	0.5746302108
446	0.5745729628
447	0.5744644359
448	0.5743976697
449	0.5743525364
450	0.5742706027
451	0.5741985244
452	0.5741274826
453	0.5740588778
454	0.5740038602
455	0.5739309142
456	0.5738641203
457	0.5738159871
458	0.5737650181
459	0.5736566002
460	0.5736097921
461	0.5735410849
462	0.5734809308
463	0.5734356831
464	0.5733876599
465	0.5733361004
466	0.5732847959
467	0.5732092574
468	0.5731449834
469	0.5730717395
470	0.5730148227
471	0.5729408939
472	0.5728964382
473	0.5728482658
474	0.5728035337
475	0.5727525834
476	0.5727075693
477	0.5726309423
478	0.5725868341
479	0.5725540708
480	0.5725005891
481	0.572450289
482	0.5723967637
483	0.5723544592
484	0.5723248708
485	0.5722670961
486	0.5722090703
487	0.5721718465
488	0.5721332336
489	0.572075117
490	0.572031836
491	0.571959655
492	0.5719175152
493	0.571853796
494	0.5717779468
495	0.5717173909
496	0.5716420575
497	0.5715940796
498	0.5715415665
499	0.57149844
500	0.5714488886
501	0.5713861537
502	0.5713320993
503	0.571299351
504	0.5712553981
505	0.5711944492
506	0.5711403706
507	0.5710909646
508	0.5710337325
509	0.5709766664
510	0.5709165208
511	0.5708529189
512	0.570793692
513	0.5707340128
514	0.5706884797
515	0.57064569
516	0.5705731371
517	0.5705142423
518	0.5704661332
519	0.5703940528
520	0.5703427887
521	0.5702812803
522	0.5702055729
523	0.5701373587
524	0.570059897
525	0.5700238096
526	0.5699771996
527	0.5699411208
528	0.5699034364
529	0.5698610108
530	0.5698121047
531	0.569777763
532	0.5697373683
533	0.5696632913
534	0.5696231164
535	0.5695624295
536	0.569510541
537	0.5694503944
538	0.5693969937
539	0.5693606031
540	0.5693029223
541	0.5692521023
542	0.5691925136
543	0.5691225905
544	0.5690727644
545	0.5690187896
546	0.5689606957
547	0.5689146278
548	0.5688629874
549	0.5687980742
550	0.5687611897
551	0.5687136997
552	0.5686477199
553	0.5685980727
554	0.5685360749
555	0.5684693802
556	0.5684206544
557	0.5683765462
558	0.5683476819
559	0.5682652222
560	0.5682153793
561	0.5681383078
562	0.5680795163
563	0.5680177524
564	0.567947729
565	0.5678757373
566	0.5677788831
567	0.5677391293
568	0.5677062353
569	0.5676440659
570	0.5675937188
571	0.5675287629
572	0.5674848935
573	0.567407521
574	0.5673481019
575	0.5672976651
576	0.5672643014
577	0.5671941575
578	0.5671394517
579	0.5670934374
580	0.5670206945
581	0.5669845139
582	0.5669038363
583	0.5668425621
584	0.5667788329
585	0.5667168763
586	0.5666839117
587	0.5666472847
588	0.5665958812
589	0.566536702
590	0.5664631471
591	0.56641017
592	0.5663389658
593	0.5662848414
594	0.5662370853
595	0.5661843238
596	0.5661277236
597	0.5660415693
598	0.5659885319
599	0.5658949002
600	0.5658396988
601	0.5658048834
602	0.5657723567
603	0.5657042351
604	0.5656425785
605	0.5655826432
606	0.5655333494
607	0.5654601121
608	0.5654259413
609	0.5653972462
610	0.5653419413
611	0.5652846177
612	0.5652289382
613	0.5651770124
614	0.5651119666
615	0.5650634363
616	0.5650201563
617	0.5649799959
618	0.5649149973
619	0.5648739051
620	0.5648166715
621	0.5647702531
622	0.5647296348
623	0.5646867264
624	0.5646400051
625	0.5645809448
626	0.5645186077
627	0.5644728185
628	0.5644152568
629	0.5643592487
630	0.5643053407
631	0.5642225024
632	0.5641841844
633	0.5641305871
634	0.5640920426
635	0.5640648662
636	0.5640057376
637	0.5639700912
638	0.5639240587
639	0.5638834539
640	0.5638461649
641	0.5637993404
642	0.5637472838
643	0.5636827178
644	0.5636171157
645	0.5635672476
646	0.5635238344
647	0.5634692875
648	0.5634222179
649	0.5633886126
650	0.5633336114
651	0.5632917866
652	0.5632402328
653	0.5631917155
654	0.5631104683
655	0.5630580871
656	0.5629441815
657	0.5628988894
658	0.5628564238
659	0.5628211018
660	0.5627746732
661	0.5627206274
662	0.5626743508
663	0.5626222286
664	0.5625609559
665	0.5625229126
666	0.5624812208
667	0.5624198039
668	0.5623578314
669	0.5623250698
670	0.5622733716
671	0.5622384515
672	0.5622003134
673	0.5621382225
674	0.562059946
675	0.5620056816
676	0.5619659048
677	0.5619063624
678	0.5618414362
679	0.5618068624
680	0.5617686455
681	0.5617154924
682	0.5616750655
683	0.5616202247
684	0.5615554839
685	0.5615174438
686	0.5614482613
687	0.5613984049
688	0.5613519918
689	0.5613064454
690	0.5612697056
691	0.5612247942
692	0.5611789292
693	0.5611389908
694	0.5610744303
695	0.5610293526
696	0.5609929331
697	0.560960421
698	0.5609163632
699	0.5608653061
700	0.560814762
701	0.560770388
702	0.5607062088
703	0.5606450095
704	0.5605973354
705	0.5605503375
706	0.5605124748
707	0.5604721918
708	0.5604268678
709	0.56038723
710	0.5603254762
711	0.560279446
712	0.5602526922
713	0.56017594
714	0.560144886
715	0.5600964801
716	0.5600454173
717	0.5600046996
718	0.5599622789
719	0.5599064519
720	0.5598640374
721	0.5597959118
722	0.5597378565
723	0.5596741761
724	0.5595414758
725	0.5594735777
726	0.5594388302
727	0.5593997149
728	0.5593475841
729	0.5593005964
730	0.5592559653
731	0.5592060262
732	0.5591755513
733	0.5591318791
734	0.5590777329
735	0.5590496584
736	0.5590142895
737	0.5589853421
738	0.5589381937
739	0.5588934663
740	0.5588550042
741	0.5587953078
742	0.5586972901
743	0.5586590765
744	0.55860553
745	0.5585437571
746	0.5584947485
747	0.5584519014
748	0.5583610759
749	0.558323473
750	0.5582440994
751	0.5581966971
752	0.5581466334
753	0.558096326
754	0.558062242
755	0.5580198934
756	0.557989893
757	0.5579418748
758	0.5579097169
759	0.5578732842
760	0.5578350968
761	0.557790276
762	0.5577362499
763	0.5576946519
764	0.5576498998
765	0.5575877525
766	0.5575281335
767	0.5574672615
768	0.5574184462
769	0.5573831403
770	0.5573519464
771	0.557299536
772	0.5572262099
773	0.557172785
774	0.5571227419
775	0.5570866301
776	0.557047071
777	0.5570010245
778	0.5569530406
779	0.5569175816
780	0.5568836202
781	0.5568352398
782	0.5567779988
783	0.5567083621
784	0.5566733592
785	0.5566302938
786	0.5566005912
787	0.556537411
788	0.556455497
789	0.5564102957
790	0.5563567053
791	0.5563119497
792	0.5562589859
793	0.5562087403
794	0.5561563524
795	0.5561262809
796	0.5560697006
797	0.5560286116
798	0.5560009426
799	0.5559603471
800	0.5559270562
801	0.5558766709
802	0.5558422539
803	0.5557960876
804	0.5557621734
805	0.5557149507
806	0.5556943613
807	0.5556704425
808	0.5556224415
809	0.5555771093
810	0.5555392903
811	0.5554917236
812	0.5554640015
813	0.555401324
814	0.5553584937
815	0.5553114491
816	0.5552635874
817	0.5552423548
818	0.5552203926
819	0.5551669445
820	0.5551088753
821	0.5550715744
822	0.5550294314
823	0.5549679771
824	0.5549129405
825	0.5548630747
826	0.5548332478
827	0.5547888554
828	0.5547263221
829	0.5546845465
830	0.5545621574
831	0.5545286085
832	0.5544829712
833	0.5544524759
834	0.5544070048
835	0.5543734283
836	0.5543232566
837	0.5542783119
838	0.5542336628
839	0.554188243
840	0.5541570479
841	0.5541226511
842	0.5540751096
843	0.5540381631
844	0.5539783308
845	0.5539457641
846	0.5538944825
847	0.5538530981
848	0.553825577
849	0.5537910562
850	0.553723132
851	0.5536701611
852	0.5536401554
853	0.5535716065
854	0.5535306036
855	0.5534977121
856	0.5534624934
857	0.5534226716
858	0.5533634785
859	0.5533116858
860	0.5532685322
861	0.5532400781
862	0.5532017614
863	0.5531796577
864	0.5531454347
865	0.5530992498
866	0.5530594874
867	0.5530250747
868	0.5529885129
869	0.5529605049
870	0.5529058438
871	0.5528606026
872	0.5528126882
873	0.5527672063
874	0.5527287741
875	0.5526812024
876	0.5526145383
877	0.5525962516
878	0.5525585228
879	0.5525234212
880	0.5524801881
881	0.5524412636
882	0.5524125718
883	0.5523854364
884	0.5523414079
885	0.5523168185
886	0.5522784648
887	0.5521757546
888	0.5521462394
889	0.5521162392
890	0.552076781
891	0.5520332789
892	0.5520098181
893	0.5519735675
894	0.5519269398
895	0.5518924516
896	0.5518430754
897	0.5517643653
898	0.5517194637
899	0.5516761828
900	0.5516299366
901	0.5515906961
902	0.5515538218
903	0.5515148106
904	0.5514763001
905	0.5514471731
906	0.5514244478
907	0.551376965
908	0.5513485542
909	0.5513011325
910	0.5512493039
911	0.5512057269
912	0.5511785364
913	0.5511313528
914	0.5510849978
915	0.5510499879
916	0.5510068273
917	0.5509652507
918	0.5509353966
919	0.5509028743
920	0.5508578097
921	0.5508108555
922	0.5507575681
923	0.550733725
924	0.5506924023
925	0.5506516247
926	0.5506104267
927	0.5505717351
928	0.5505364475
929	0.5504788939
930	0.5504381821
931	0.5503871003
932	0.5503535291
933	0.5503112271
934	0.5502563853
935	0.5502039997
936	0.5501576276
937	0.5501107092
938	0.5500627445
939	0.5500245089
940	0.5499860664
941	0.5499411522
942	0.5498886777
943	0.549864797
944	0.5498326761
945	0.5497906852
946	0.5497478446
947	0.5496918407
948	0.5496558976
949	0.5496128354
950	0.5495370699
951	0.5494937983
952	0.5494667589
953	0.5494302782
954	0.5494130669
955	0.5493778275
956	0.5493138608
957	0.5492683913
958	0.5492046804
959	0.5491532641
960	0.5491061039
961	0.5490700715
962	0.5490366339
963	0.5490072988
964	0.5489697989
965	0.548929895
966	0.5488792809
967	0.5488424347
968	0.5487965175
969	0.5487454071
970	0.5487186436
971	0.548673301
972	0.548639036
973	0.5486124633
974	0.5485789401
975	0.5485285915
976	0.5485022239
977	0.5484300939
978	0.5483900304
979	0.5483600075
980	0.5483150878
981	0.5482632996
982	0.5482186643
983	0.548176219
984	0.5481306868
985	0.5480899997
986	0.5480460112
987	0.5479974078
988	0.5479521924
989	0.547899201
990	0.5478372452
991	0.5477986285
992	0.5477549605
993	0.5477175737
994	0.5476719168
995	0.5476484574
996	0.5476026225
997	0.5475616893
998	0.5475229806
999	0.5474708833
